DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
35191043001,0.0661,0.0815,0.0267,0.0229,0.0126,0.1766,0.1112,,0.0242,0.0378,0
35191043002,0.0648,0.0636,0.0128,0.0198,0.0322,0.144,0.0614,,0.0224,0.0233,0
35191043003,0.064,0.0711,0.0181,0.0187,0.0253,0.1414,0.0654,,0.0224,0.0244,0
35191043004,0.0638,0.1125,0.0263,0.0201,0.0208,0.2135,0.105,,0.0273,0.0293,0
35191043005,0.0629,0.0881,0.0241,0.0191,0.0308,0.1624,0.0928,,0.0277,0.0219,0
35191047001,0.0811,0.0745,0.0212,0.044,0.1572,0.0951,,,0.0914,0.0207,0
35191060001,0.0423,0.0277,0.0539,0.0141,0.0318,0.0366,,,0.0728,0.0171,0
35191060002,0.0461,0.0242,0.0771,0.0203,0.0337,0.044,,,0.1104,0.0164,0
35191060003,0.0518,0.0307,0.0637,0.021,0.0405,0.0535,,,0.0852,0.0211,0
35191060004,0.0523,0.0705,0.05,0.0249,0.1241,0.0288,,,0.0331,0.0166,0
35191061001,0.0456,0.0231,0.0244,0.0201,0.0126,0.0863,0.0349,,0.0606,0.0073,0
35191061002,0.0409,0.052,0.0316,0.0263,0.0248,0.0689,0.0389,,0.0452,0.0086,0
35191061003,0.0418,0.0455,0.0313,0.0265,0.0248,0.0649,0.0369,,0.0557,0.0074,0
35191062001,0.0732,0.0648,0.0284,0.0133,0.044,,,,0.0239,0.0042,0
35191062002,0.0769,0.0179,0.0216,0.0188,0.0196,,,,0.0316,0.003,0
35191062003,0.0713,0.0304,0.0196,0.0154,0.0118,,,,,0.011,0
35191062004,0.073,0.0261,0.0284,0.0133,0.044,,,,0.0239,0.0042,0
35191064001,0.0681,0.035,,0.0274,,,,,,0.0049,0
35191064003,0.0666,,,0.0213,,,,,0.0159,0.0026,0
35191064005,0.0652,0.0453,,0.0265,,,,,,0.0073,0
35191088001,0.0166,0.01,,0.0043,,0.045,,,0.0577,0.0025,0
35191088002,0.0177,0.0601,,0.0044,,0.0408,,,0.0732,0.0035,0
35191089001,0.0169,0.0151,0.0168,0.0052,0.0168,0.1679,,0.0844,0.1786,0.0044,1
35191089002,0.0173,,0.0146,0.0057,,0.1302,,0.0672,0.0687,0.0032,0
35191089004,0.0165,0.0064,0.0118,0.0038,,0.1055,,0.0512,0.0483,0.002,0
35191089005,0.0174,0.0068,0.015,0.0058,0.015,0.1562,,0.0753,0.0866,0.0033,1
35191089006,0.0171,0.0072,0.016,0.0061,0.0161,0.2185,,0.0805,0.0959,0.004,1
35191089007,0.0182,0.007,0.0216,0.0074,0.0155,0.1107,0.0346,0.0778,0.0611,0.0022,1
35191089008,0.0184,0.0075,0.024,0.0077,0.0166,0.1192,0.0361,0.0834,0.0642,0.0017,1
35191089009,0.0174,0.0153,0.0186,0.0056,0.0189,0.145,,0.0947,0.1641,0.0041,1
35191089011,0.0157,0.0131,0.0142,0.0055,0.0143,0.2141,,0.0714,0.0929,0.0039,1
35191089012,0.0148,0.0068,,0.0018,,0.0421,,,0.0233,0.0007,0
35191089013,0.0125,0.0195,,0.0015,,,,,0.0182,0.0001,0
35191089015,0.0152,0.0552,,0.003,,,,,0.0583,0.0003,0
35191089016,0.0147,0.0372,,0.0023,,,,,0.0476,0.0002,0
35191089017,0.0162,0.0829,,0.0039,,0.0269,,,0.0636,0.0003,0
35191089018,0.0152,0.0305,,0.0023,,,,,0.0399,0.0002,0
35191089019,0.0147,0.0072,,0.0041,,,,,0.0149,0.0,0
35191089020,0.0162,0.0208,,0.0045,,,,,0.039,0.0002,0
35191089021,0.016,0.0223,0.0051,0.0028,,0.0694,,,0.0537,0.0011,0
35191089022,0.0148,0.0168,0.0049,0.0023,,0.066,,,0.03,0.001,0
35191089023,0.0173,0.0067,0.0187,0.007,0.0149,0.0931,,0.0745,0.0571,0.0014,1
35191089024,0.0154,0.0347,,0.0035,,0.0297,,,0.1181,0.0006,0
35191089025,0.016,0.0397,,0.0037,,0.0321,,,0.1198,0.001,0
35191089026,0.0162,0.0079,,0.0051,,,,,0.017,0.002,0
35191089027,0.015,0.0156,,0.0043,,,,,0.0306,0.0001,0
35191089028,0.0165,0.0084,,0.0052,,,,,0.0185,0.0021,0
35191089029,0.0167,0.0156,,0.0052,,,,,0.0307,0.0022,0
35191089030,0.0152,0.0168,,0.0045,,,,,0.0335,0.0001,0
