DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
48190221001,0.0151,,0.0549,0.0028,,0.1016,0.1309,,0.0947,,0
48190221002,0.0157,,0.0477,0.0032,,0.0649,0.0837,,0.0989,,0
48190221003,0.0151,,0.0529,0.0028,,0.0921,0.1187,,0.1026,,0
48190224001,0.0182,0.0098,0.0121,0.0035,,0.0709,0.0794,,0.0543,,0
48190224002,0.0169,0.0066,0.0142,0.0034,,0.0681,0.082,,0.0319,,0
48190225001,0.0201,0.007,0.0096,0.003,,0.1115,0.0662,,0.0876,,0
48190225002,0.0192,0.0085,0.0129,0.0031,,0.0899,0.0542,,0.0855,,0
48190225003,0.0183,0.0073,0.0069,0.0027,,0.0803,0.0485,,0.0723,,0
48190225004,0.0175,,0.0333,0.0022,,0.3508,0.226,,0.0683,,0
48190225005,0.0183,,0.0368,0.0024,,0.5718,0.226,,0.0831,,0
48190226001,0.0179,,0.066,0.0022,,0.3143,0.1922,,0.0728,,0
48190226002,0.0174,,0.0266,0.0032,,0.0798,0.1087,,0.0137,,0
48190227001,0.0245,0.0655,0.005,0.0026,0.1693,0.1082,0.0992,,,,0
48190227002,0.0194,,0.0078,0.0021,,0.0909,0.0548,,0.0643,,0
48190228001,0.0206,,0.0086,0.0023,,0.1001,0.06,,0.2159,,0
48190228002,0.0205,,0.0089,0.0023,,0.1041,0.0622,,0.22,,0
48190228003,0.0223,0.0134,0.0204,0.0027,0.0295,0.1192,0.0699,,0.0821,,0
48190228004,0.0206,,0.01,0.0025,,0.1164,0.0689,,0.0802,,0
48190234001,0.0128,,0.0696,0.0012,,,,,0.1377,,0
48190234002,0.0128,,0.0696,0.0012,,,,,0.1377,,0
48190234003,0.0134,,0.1357,0.0015,,,,,0.1937,,0
48190234004,0.012,,0.0491,0.0009,,,,,0.186,,0
48190234005,0.0122,,0.052,0.001,,,,,0.1943,,0
48190238001,0.0243,,0.0479,0.0098,,0.0582,0.1752,,0.0196,,0
48190238002,0.0269,0.0078,0.0933,0.0144,0.0308,0.0843,0.2088,,0.0499,,0
48190238003,0.0267,0.009,0.0418,0.0146,0.0346,0.11,0.2256,,0.0388,,0
48190238004,0.0308,0.0258,0.048,0.0176,0.0788,0.2516,0.4548,,0.0438,,0
48190238005,0.0291,0.022,0.0569,0.0153,0.0465,0.0609,0.2275,,0.0307,,0
48190238006,0.0261,0.007,0.0438,0.014,0.0308,0.0707,0.2476,,0.035,,0
48190241001,0.0242,0.0081,0.0431,0.0137,,0.1337,0.0826,,0.0978,,0
48190241002,0.0237,0.0067,0.0953,0.0123,,0.1005,0.0769,,0.0886,,0
48190241003,0.0234,0.0064,0.0945,0.012,,0.0951,0.0746,,0.0836,,0
48190241004,0.0223,0.0105,0.0613,0.0108,,0.1036,0.1017,,0.1517,,0
48190241005,0.0226,0.0253,0.0737,0.0114,,0.1143,0.1095,,0.1699,,0
48190241006,0.0224,0.0274,0.1018,0.011,,0.1065,0.1082,,0.1269,,0
48190241007,0.0223,0.0352,0.0644,0.0107,0.0286,0.0975,0.1116,,0.1346,,0
48190241008,0.0227,0.038,0.0706,0.0111,,0.1174,0.1301,,0.1616,,0
48190241009,0.0228,0.0411,0.0599,0.0115,,0.1279,0.1324,,0.1683,,0
48190241010,0.0228,0.0526,0.0505,0.0116,,0.1394,0.1427,,0.1544,,0
48190243001,0.0309,0.0275,0.019,0.0203,0.0408,0.1027,0.1022,0.0512,0.1291,,0
48190243002,0.0296,0.0242,0.0209,0.0186,0.0161,0.1189,0.1031,0.0476,0.158,,0
48190243003,0.029,0.0245,0.0223,0.0179,0.0152,0.1421,0.1258,0.0497,0.1868,,0
48190243005,0.0304,0.041,0.0189,0.02,0.0403,0.109,0.1165,0.0558,0.1296,,0
48190243006,0.027,0.0215,0.012,0.0172,,0.0933,0.1034,0.054,0.0877,,0
48190243007,0.0253,0.0247,0.0235,0.0154,0.0155,0.149,0.1241,0.0483,0.1873,,0
48190243008,0.0268,0.0174,0.0237,0.0162,,0.1471,0.1191,0.0483,0.1928,,0
48190245001,0.0246,0.0067,0.0114,0.0171,,0.1026,0.0785,,0.1227,,0
48190266001,0.0198,0.0268,0.0962,0.0074,,0.0366,0.1066,,0.04,,0
48190266002,0.0192,0.0177,0.0673,0.0064,,0.0338,0.0974,,0.0356,,0
