DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
59151329004,0.0954,0.1407,0.1304,0.041,0.1921,0.1393,0.1796,0.0483,0.123,0.0379,1
59151332001,0.0791,0.0439,0.1094,0.0233,0.0857,0.1623,0.2501,,0.0205,0.0213,0
59151332002,0.0713,0.0474,0.1074,0.0206,0.1053,0.1655,0.2689,,0.0234,0.0223,0
59151336001,0.0822,0.1356,0.094,0.0146,0.2771,0.1364,0.1758,0.125,0.1083,0.0324,2
59151336002,0.08,0.1234,0.0843,0.0149,0.3908,0.1022,0.1318,0.1229,0.1025,0.0347,1
59151336003,0.0765,0.1239,0.0927,0.0136,0.2081,0.1404,0.181,0.1229,0.0959,0.0272,2
59151338001,0.0784,0.1321,0.0949,0.0139,0.2074,0.1434,0.1849,0.1883,0.0696,0.0258,2
59151338002,0.082,0.1463,0.0956,0.0195,0.2615,0.1404,0.181,0.1988,0.0937,0.0297,2
59151338004,0.0773,0.1241,0.0622,0.013,0.2119,0.0972,0.1613,0.1078,0.0702,0.0457,1
59151338005,0.0871,0.2118,0.0822,0.0178,0.5069,0.135,0.174,0.2238,0.1041,0.0415,2
59151338006,0.0821,0.195,0.0859,0.0195,0.2969,0.1358,0.175,0.217,0.1562,0.0313,2
59151339001,0.0795,0.188,0.0827,0.0174,0.3233,0.1304,0.1681,0.4087,0.0988,0.0285,2
59151339002,0.0823,0.2014,0.0884,0.0188,0.3746,0.1306,0.1683,0.5532,0.082,0.0321,2
59151339003,0.0799,0.1462,0.0847,0.0161,0.3316,0.1311,0.169,0.217,0.0786,0.0358,2
59151340001,0.0708,0.1067,0.073,0.0105,0.0459,0.1081,0.1394,0.0787,0.0481,0.0064,1
59151340002,0.0794,0.1083,0.101,0.0139,0.1744,0.1594,0.2055,0.1732,0.0725,0.0227,2
59151340003,0.0832,0.2127,0.0906,0.0185,0.3608,0.1366,0.1761,0.6337,0.0757,0.0368,2
59151341001,0.0778,0.0951,0.1037,0.0121,0.2482,0.1469,0.1893,0.1488,0.1019,0.025,2
59151341002,0.0784,0.0779,0.0896,0.0124,0.328,0.1149,0.1481,0.1187,0.0772,0.03,1
59151341003,0.0832,0.113,0.1082,0.015,0.3952,0.156,0.201,0.1788,0.1,0.0494,2
59151342001,0.0831,0.0541,0.169,0.0226,0.1705,0.2366,0.305,0.0805,0.0544,0.0497,1
59151342002,0.0822,0.039,0.2291,0.022,0.1404,0.226,0.2913,0.0729,0.0608,0.0297,1
59151342003,0.083,0.0768,0.1482,0.0186,0.2866,0.1669,0.2151,0.1168,0.0643,0.033,2
59151342004,0.0846,0.1318,0.127,0.0157,0.3199,0.1484,0.1912,0.2471,0.0885,0.0474,2
59151343001,0.0799,0.1539,0.0686,0.0149,0.2577,0.1125,0.181,0.1553,0.1001,0.0607,1
59151345001,0.1164,0.0942,0.0645,0.0337,0.1002,0.1984,0.2013,,0.0967,0.0403,0
59151345002,0.1021,0.0187,0.0771,0.0468,0.0122,0.1214,0.12,0.047,0.0345,0.0259,1
59151346001,0.1087,0.0288,0.0944,0.0485,0.0154,0.1291,0.1306,0.0528,0.0639,0.0344,1
59151346003,0.1064,0.0439,0.144,0.035,0.0496,0.0915,0.1179,0.0486,0.1292,0.0384,1
59151346004,0.1104,0.0932,0.1024,0.0372,0.0857,0.0825,0.1063,0.0666,0.0831,0.0574,1
59151347001,0.0956,0.0178,0.1169,0.0377,0.0694,0.1671,0.1803,,0.0603,0.0248,0
59151347002,0.1025,0.0359,0.1021,0.0478,0.0172,0.1374,0.1366,0.047,0.0505,0.0274,1
59151347003,0.1022,0.0409,0.103,0.0479,0.0141,0.1965,0.2128,0.0466,0.042,0.0292,1
59151347004,0.0985,0.0276,0.1237,0.0396,0.0308,0.1178,0.1519,,0.0928,0.0318,0
59151347005,0.0996,0.0119,0.1282,0.0377,0.0308,0.1495,0.1927,,0.0818,0.0333,0
59151348001,0.0925,0.0063,0.1755,0.0309,0.0136,0.2342,0.3019,,0.0505,0.0198,0
59151348002,0.0997,0.0218,0.1595,0.0389,0.0161,0.2036,0.2259,,0.0502,0.0215,0
59151348003,0.0965,0.0102,0.1312,0.036,0.0186,0.1578,0.2387,,0.077,0.0246,0
59151349003,0.1,0.0329,0.1144,0.0397,0.0202,0.2317,0.2584,,0.0441,0.0256,0
59151349004,0.0972,0.017,0.0724,0.0316,0.0102,0.1782,0.1898,,0.0356,0.0139,0
59151350001,0.0955,0.0145,0.0991,0.0309,0.0155,0.2578,0.2897,,0.0439,0.0146,0
59151350003,0.1011,0.0179,0.1161,0.0357,0.0556,0.2366,0.2637,,0.0491,0.0247,0
59151350004,0.0989,0.0247,0.0995,0.0323,0.0244,0.2497,0.279,,0.0565,0.0169,0
59151350005,0.0976,0.0138,0.1398,0.0374,0.0099,0.3354,0.3945,,0.0382,0.0304,0
59151374001,0.1365,0.0857,0.0238,0.0507,,0.0271,0.0349,,0.0647,0.0149,0
59151374002,0.1319,0.0505,0.0497,0.0512,0.0094,0.0684,0.0882,,0.0836,0.0224,0
59151374003,0.1295,0.0492,0.0535,0.053,0.0088,0.0981,0.1265,,0.0708,0.0243,0
59151374004,0.1255,0.0423,0.0997,0.056,0.0101,0.1068,0.1376,,0.0674,0.0273,0
59151374005,0.1223,0.0448,0.0575,0.0619,0.0407,0.1176,0.1516,,0.0694,0.0311,0
