DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
24560209001,0.0223,,0.1436,0.0008,0.0354,,,,0.0179,0.0026,0
24560209002,0.0217,,0.1134,0.0004,0.1054,0.0276,,,0.0371,0.0021,0
24560209003,0.0208,,0.0577,0.0003,0.0318,0.0366,,,0.128,0.0024,0
24560209004,0.0202,,0.053,0.0003,0.0084,0.0384,,,0.0926,0.0019,0
24560209007,0.0219,,0.0604,0.0005,0.0338,0.0421,,,0.213,0.003,0
24560210001,0.0228,,0.1,0.0008,0.0443,0.0304,,,0.0498,0.0043,0
24560210002,0.0229,,0.1926,0.0007,0.0626,0.028,,,0.0505,0.0029,0
24560210003,0.0218,,0.1784,0.0004,0.0443,,,,0.0543,0.0021,0
24560210004,0.0199,,0.0979,0.0004,0.0299,,,,0.0852,0.0012,0
24560210005,0.0214,,0.1322,0.0004,0.1054,0.0263,,,0.0279,0.002,0
24560210006,0.0236,,0.0849,0.0007,0.0471,0.0465,,,0.1378,0.0082,0
24560210007,0.024,,0.0767,0.0007,0.0437,0.0535,,,0.1238,0.0077,0
24560210008,0.023,,0.0681,0.0006,0.0371,0.0483,,,0.1981,0.0045,0
24560210009,0.0228,,0.0673,0.0006,0.0367,0.0465,,,0.1918,0.0042,0
24560211007,0.0114,,,0.0011,,,,,0.0271,,0
24560211008,0.0123,,,0.0016,,,,,0.0841,,0
24560211010,0.0092,,,0.0001,,,,,,,0
24560211011,0.0099,,,0.0001,,,,,,,0
24560211012,0.0087,,,0.0001,,,,,,,0
24560211013,0.0088,,,,,,,,,,0
24560211014,0.0044,,,,,,,,,,0
24560211016,0.0115,,0.0094,0.0002,,,,,,,0
24560211018,0.0111,,,0.0005,,,,,0.0156,,0
24560211019,0.0111,,,0.0007,,,,,0.0152,,0
24560212001,0.0188,,0.1187,0.0003,,,,,0.0111,0.0004,0
24560212002,0.0185,,0.1286,0.0003,,,,,0.011,0.0004,0
24560212003,0.02,,0.1952,0.0004,0.0226,,,,0.0224,0.0006,0
24560212004,0.0173,,0.118,0.0002,,,,,0.0185,,0
24560212005,0.0177,,0.0965,0.0003,,,,,0.0213,0.0003,0
24560213003,0.0152,,0.0388,0.0002,,,,,0.013,,0
24560213004,0.0157,,0.0447,0.0001,,,,,0.0898,,0
24560213005,0.0158,,0.0466,0.0002,,,,,0.1002,,0
24560213006,0.0141,,0.0181,0.0001,,,,,0.0101,,0
24560213007,0.0172,,0.1424,0.0002,,,,,0.0173,,0
24560213008,0.0196,,0.1557,0.0004,0.0214,,,,0.0105,0.0008,0
24560213009,0.0206,,0.2004,0.0004,0.0247,,,,0.0122,0.0012,0
24560213011,0.0112,,0.0076,0.0002,,,,,0.0109,,0
24560214003,0.0095,,,0.0001,,,,,,,0
24560214025,0.0109,,,0.0001,,,,,,,0
24560214026,0.0093,,,0.0001,,,,,,,0
24560214027,0.009,,,0.0001,,,,,,,0
24560214028,0.0111,,,0.0001,,,,,,,0
24560214033,0.0063,,0.0047,0.0,,0.028,,,0.0071,,0
24560215001,0.0117,,0.0154,0.0002,,,,,,,0
24560215002,0.0106,,0.0136,0.0001,,,,0.0587,,,0
24560215003,0.0113,,0.0495,0.0001,,,,0.048,,,0
24560215004,0.0104,,0.0174,0.0001,,0.0272,,0.0796,,,0
24560215005,0.0081,,0.0046,0.0,,,,0.2104,,,0
24560215006,0.0093,,0.0122,0.0,,0.028,,0.1168,,,0
