DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
59170623003,0.0171,,0.0337,0.0016,,0.1276,0.0356,,0.0252,0.0031,0
59170623006,0.0188,,0.0292,0.0033,,0.0416,,,0.0105,0.0024,0
59170623007,0.0175,,0.021,0.0023,,,,,,0.002,0
59170627003,0.0121,,,0.0005,0.0075,,,,0.0196,0.0033,0
59170627004,0.0139,,,0.001,,,,,0.0267,0.0011,0
59170627005,0.0142,0.0111,0.0103,0.0008,0.0709,0.0288,,,0.0173,0.0019,0
59170627006,0.0145,0.0084,,0.0017,,,,,0.0524,0.0022,0
59170628003,0.0108,0.0113,,0.0011,0.0373,,,,0.0403,0.0019,0
59170628004,0.0141,,0.0183,0.0015,,0.0319,,,0.0895,0.0044,0
59170628005,0.0123,,0.01,0.0024,,,,,0.0301,0.0006,0
59170628006,0.0145,0.0648,,0.0038,0.2129,,,,0.0211,0.0032,0
59170628007,0.007,0.007,,0.0019,,,,,0.0531,0.0011,0
59170628008,0.0077,,,0.0021,,,,,0.0917,0.0004,0
