DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
24620141011,0.0018,0.0153,0.0376,0.0012,0.2838,,,,0.0141,,0
24620141012,0.0019,0.0218,0.0319,0.0016,0.1013,,,,0.0122,,0
24620141013,0.0021,0.0218,0.0269,0.0015,0.0767,,,,0.0112,,0
24620141014,0.0019,0.0218,0.035,0.0015,0.1016,,,,0.0149,,0
24620141015,0.0019,0.016,0.0598,0.0013,0.0915,,,,0.0185,,0
24620141016,0.0018,0.0119,0.0725,0.0011,0.0692,,,,0.0213,,0
24620141017,0.0018,0.0115,0.049,0.0009,0.0915,,,,0.0182,,0
24620141018,0.0019,0.0218,0.0249,0.0015,0.0675,,,,0.0123,,0
24620141019,0.0019,0.0097,0.0138,0.0004,0.0359,,,,,,0
24620141020,0.002,0.0098,0.0574,0.001,0.0746,,,,0.0185,,0
24620142001,0.0016,,,0.0,,,,,,,0
24620142005,0.0014,,,,,,,,,,0
24620142006,0.0014,,,,,,,,,,0
24620142007,0.0007,,0.0027,,,,,,,,0
24620142008,0.0007,,0.0027,,,,,,,,0
24620142009,0.0006,,,,,,,,,,0
24620143001,0.002,,0.0215,0.0002,,,0.0455,,0.0114,0.0,0
24620143003,0.0015,0.0079,0.0398,0.0007,0.0399,,,,0.1002,,0
24620143004,0.0015,0.0065,0.038,0.0006,0.0368,,,,0.0557,,0
24620143005,0.0025,,0.0708,0.0003,,0.0284,0.0586,0.047,0.0133,0.0001,0
24620143006,0.0019,,0.0166,0.0002,,,0.0339,,0.0142,,0
24620143008,0.0022,,0.0338,0.0004,,,0.0485,,0.0142,0.0,0
24620143009,0.0023,,0.0385,0.0004,,0.028,0.0579,,0.0125,0.0001,0
