DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
59151599005,0.0469,,0.0109,0.0231,0.0075,0.0408,0.0526,,,0.0063,0
59151599008,0.0516,0.0145,0.0227,0.0285,,0.0695,0.0895,,,0.0122,0
59151599009,0.0499,0.013,0.0227,0.0269,,0.0591,0.0762,,,0.0115,0
59151602001,0.0413,0.0104,0.0346,0.0034,,0.0588,,,0.0101,0.0012,0
59151606001,0.0509,0.0169,0.0474,0.0134,0.0094,0.1934,0.0823,,,0.002,0
59151606002,0.0486,0.0072,0.0294,0.0102,0.0144,0.1087,,,0.0127,0.0026,0
59151606003,0.0518,0.0515,0.0412,0.013,0.0244,0.3317,0.0359,,0.0108,0.0039,0
59151606004,0.0511,0.0068,0.0397,0.0134,0.0362,0.11,,,0.0267,0.0034,0
59151606005,0.051,0.0074,0.0462,0.0116,0.0296,0.1089,,,0.0237,0.0026,0
59151607001,0.0465,0.0094,0.0933,0.0069,0.0099,0.1376,0.0904,,,0.0031,0
59151607002,0.0482,0.0192,0.0366,0.0095,0.008,0.1291,0.0858,,,0.0023,0
59151607003,0.0498,0.021,0.0472,0.0102,0.0077,0.1642,0.0801,,,0.0033,0
59151608003,0.0496,0.0126,0.0608,0.009,0.0168,0.2192,0.0785,,0.027,0.0058,0
59151608004,0.0455,0.0152,0.0652,0.0067,0.0709,0.2509,0.1739,,0.0271,0.0036,0
59151608005,0.0464,0.0094,0.0927,0.0075,0.0214,0.1736,0.1357,,0.0182,0.0028,0
59151609001,0.044,0.0091,0.0788,0.0095,0.0191,0.1821,0.1381,,0.0271,0.004,0
59151634001,0.0523,0.0208,0.0852,0.0679,0.0269,0.0985,0.1202,,0.0707,0.0145,0
59151635001,0.0477,0.0066,0.047,0.0412,0.0262,0.0284,0.0366,,0.0534,0.0027,0
59151636001,0.0501,0.0148,0.1442,0.059,0.0452,0.0421,0.0905,,0.0563,0.0093,0
59151636002,0.05,0.0149,0.1442,0.059,0.0452,0.0421,0.0905,,0.0563,0.0092,0
59151637001,0.0517,0.0304,0.0978,0.0488,0.1007,0.0338,0.09,,0.0501,0.0094,0
59151637002,0.0614,0.0683,0.0753,0.0409,0.075,0.0276,0.0775,,0.0375,0.0062,0
59151637003,0.0556,0.0369,0.0571,0.0418,0.0424,,0.0366,,0.0245,0.0052,0
59151637007,0.0556,0.0339,0.057,0.0406,0.0269,,0.0354,,0.0247,0.009,0
59151638001,0.0584,0.0451,0.1436,0.054,0.0711,0.0421,0.1189,,0.0413,0.0138,0
59151639001,0.059,0.0587,0.1069,0.0508,0.1773,0.0347,0.1313,,0.0189,0.0107,0
59151639002,0.0577,0.0501,0.1087,0.0471,0.1205,0.0286,0.1079,,0.025,0.0102,0
59151639003,0.0584,0.0613,0.1179,0.0514,0.2462,0.0373,0.1483,,0.0145,0.0124,0
59151640001,0.0554,0.039,0.1346,0.0481,0.0937,0.0335,0.2885,0.0466,,0.0094,1
59151640002,0.0557,0.06,0.1041,0.0468,0.1253,0.0309,0.1098,,0.012,0.0097,0
59151641001,0.046,0.0209,0.1724,0.0337,0.0449,0.0772,0.1245,,,0.0101,0
59151642001,0.047,0.0172,0.1762,0.0353,0.0172,0.0954,0.15,,,0.0062,0
59151642002,0.0508,0.0317,0.236,0.0409,0.0369,0.0619,0.084,,,0.0097,0
59151642003,0.0479,0.0359,0.2275,0.0357,0.0675,0.0807,0.1296,,,0.011,0
59151643001,0.0445,0.0237,0.1904,0.0277,0.0089,0.1001,0.083,,,0.0043,0
59151643003,0.0526,0.0325,0.256,0.042,0.0416,0.1189,0.1264,,,0.0102,0
59151643004,0.0422,0.0113,0.1297,0.0259,,0.0972,0.0785,,,0.004,0
59151643005,0.0438,0.0265,0.1406,0.0275,,0.1065,0.0855,,,0.0061,0
59151644001,0.0514,0.053,0.2393,0.0416,0.0625,0.1201,0.1019,,,0.0111,0
59151644002,0.0513,0.0671,0.2618,0.0413,0.0666,0.1824,0.1082,0.0512,,0.0209,1
59151645001,0.0454,0.0173,0.179,0.0313,0.0122,0.1226,0.1016,,,0.0094,0
59151645002,0.0448,0.0193,0.1537,0.0275,0.0138,0.1341,0.1099,,,0.0094,0
59151645003,0.0458,0.0216,0.1613,0.0302,0.0161,0.1486,0.1182,,,0.0109,0
59151645004,0.0458,0.0216,0.1611,0.0289,0.0161,0.1486,0.1182,,,0.0138,0
59151646001,0.0426,0.009,0.149,0.0253,0.0462,0.0557,0.0719,,0.0106,0.0124,0
59151646002,0.0453,0.0131,0.1699,0.0283,0.0322,0.1346,0.1121,,0.0112,0.0147,0
59151647001,0.05,0.0667,0.1901,0.0394,0.0651,0.2107,0.0773,0.0508,,0.0258,1
59151648001,0.0523,0.1023,0.1626,0.0398,0.1163,0.1387,0.1301,0.0653,,0.032,1
59151649004,0.0674,0.1558,0.2008,0.0581,0.2311,0.0911,0.1093,0.0769,,0.0326,1
