DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
35202261002,0.2167,0.1328,0.0838,0.0672,0.0692,0.1802,0.0654,0.091,0.2115,0.0326,1
35202261003,0.2338,0.1272,0.0673,0.0793,0.0772,0.1582,0.088,0.1229,0.3226,0.0589,1
35202261004,0.2228,0.1303,0.0826,0.0695,0.0538,0.2033,0.0691,0.0962,0.2337,0.04,1
35202262001,0.2387,0.1061,0.0631,0.0849,0.0714,0.1632,0.138,0.1934,0.279,0.0733,1
35202262002,0.2486,0.1622,0.0741,0.094,0.1258,0.1738,0.1344,0.1883,0.3376,0.0858,1
35202263001,0.241,0.1106,0.073,0.0847,0.0579,0.1731,0.1844,0.2588,0.3234,0.062,1
35202264001,0.2314,0.095,0.0749,0.0824,0.0489,0.1675,0.1613,0.2262,0.2418,0.054,1
35202265004,0.2499,0.0692,0.0665,0.0857,0.0604,0.1193,0.1103,0.1001,0.1604,0.0598,1
35202265005,0.2366,0.0872,0.0641,0.0773,0.0611,0.1988,0.128,0.125,0.238,0.0583,1
35202265007,0.2393,0.1006,0.0895,0.0778,0.0624,0.1443,0.2642,0.3713,0.2854,0.0522,1
35202266001,0.2231,0.0911,0.0531,0.0722,0.0482,0.1491,0.0699,0.0973,0.1996,0.0466,1
35202266004,0.2396,0.0966,0.0558,0.0821,0.0479,0.1644,0.1202,0.1168,0.2389,0.0624,1
35202267001,0.2226,0.0381,0.0402,0.0724,0.0337,0.1116,0.063,0.0876,0.1441,0.0222,1
35202267002,0.2327,0.0484,0.0486,0.0758,0.0564,0.1302,0.1195,0.1046,0.2423,0.0361,1
35202268001,0.215,0.0563,0.0394,0.0737,0.0126,0.1024,0.051,0.0707,0.1799,0.0239,1
35202268002,0.2208,0.0482,0.0385,0.0743,0.0116,0.0998,0.0836,0.0672,0.1556,0.0209,1
35202268003,0.224,0.0724,0.0484,0.073,0.0499,0.1209,0.0646,0.0898,0.1986,0.0468,1
35202269001,0.2008,0.0832,0.0355,0.0725,,0.0388,,,0.0249,0.0107,0
35202269002,0.1998,0.092,0.0346,0.0635,,0.038,,,0.0241,0.0109,0
35202269003,0.1981,0.0819,0.0495,0.0681,0.0083,0.0731,0.038,0.1017,0.0396,0.0241,1
35202269004,0.2164,0.0475,0.0315,0.0716,,0.091,,,0.0444,0.012,0
35202269005,0.2154,0.04,0.0435,0.0737,0.0072,0.0979,0.0782,0.054,0.0704,0.0118,1
35202269006,0.208,0.0946,0.058,0.0753,0.0243,0.1103,0.0428,0.1122,0.0603,0.0385,1
35202269008,0.2156,0.0334,0.0382,0.0733,0.0071,0.0972,0.0785,0.0536,0.0675,0.0136,1
35202269012,0.2107,0.0586,0.0301,0.0683,0.0108,0.0689,0.0447,0.0618,0.1406,0.0216,1
35202269013,0.2108,0.0576,0.0293,0.0715,0.0104,0.0671,0.0439,0.0607,0.0862,0.02,1
35202270001,0.2083,0.0483,0.0492,0.0719,0.0107,0.1046,0.0436,0.0602,0.1002,0.0296,1
35202270002,0.208,0.0477,0.049,0.0716,0.0105,0.1042,0.0432,0.0597,0.1001,0.0292,1
35202271001,0.1966,0.111,0.0772,0.0744,0.0238,0.1217,0.0346,0.1067,0.0454,0.0424,1
35202271002,0.1929,0.064,0.0619,0.0689,0.0073,0.1228,0.0346,0.0476,0.0766,0.032,1
35202271003,0.2113,0.0787,0.0648,0.0793,0.0258,0.1194,0.0428,0.1155,0.0705,0.044,1
35202271004,0.1981,0.0521,0.0495,0.0686,0.0083,0.1138,0.0375,0.0516,0.0709,0.0284,1
35202271005,0.1806,0.0382,0.0508,0.0501,0.025,0.1233,,,0.0832,0.0318,0
35202271006,0.1806,0.0382,0.0508,0.0503,0.025,0.1233,,,0.0835,0.0251,0
35202272001,0.1785,0.0658,0.0607,0.067,0.017,0.1563,0.0344,0.0572,0.0631,0.0338,1
35202272002,0.1833,0.0825,0.0494,0.0683,0.0152,0.1297,,0.0524,0.0607,0.0336,1
35202272003,0.1913,0.0675,0.0614,0.0709,0.0146,0.1111,,0.0486,0.072,0.0345,1
35202272004,0.1712,0.0391,0.0677,0.0579,0.0152,0.212,0.0404,0.048,0.0966,0.0314,1
35202272005,0.1778,0.043,0.0532,0.0606,0.0277,0.1386,0.0349,,0.0818,0.0261,0
35202273001,0.1828,0.1074,0.0663,0.0739,0.102,0.1695,,0.0805,0.0388,0.0451,1
35202273002,0.1914,0.0982,0.0642,0.0773,0.1,0.1571,,0.0796,0.0247,0.0426,1
35202273003,0.1951,0.1279,0.0643,0.0798,0.0418,0.1095,,0.0635,0.0447,0.0379,1
35202273006,0.1966,0.1303,0.0657,0.0819,0.0428,0.1129,,0.0647,0.0457,0.0405,1
35202274001,0.1783,0.1022,0.0661,0.0741,0.1191,0.3595,0.0339,0.091,0.0431,0.0488,1
35202275001,0.1684,0.1357,0.111,0.0775,0.1785,0.173,0.0411,0.1372,0.1011,0.0661,2
35202275002,0.1757,0.1245,0.0946,0.0769,0.172,0.1639,0.0389,0.1187,0.1059,0.0612,2
35202276001,0.162,0.094,0.0865,0.0666,0.1055,0.1681,0.0505,0.0947,0.0899,0.0576,1
35202276002,0.1656,0.0806,0.0797,0.0659,0.0909,0.1739,0.0459,0.0796,0.1373,0.0411,1
35202276003,0.1615,0.081,0.0733,0.0625,0.0879,0.2044,0.0436,0.0769,0.0663,0.0404,1
