DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
59330147004,0.0043,,0.0118,0.0008,,0.3452,0.4449,,,0.0031,0
59330147005,0.0043,,0.012,0.0008,,0.2776,0.3578,,,0.0036,0
59330147006,0.003,,,0.0007,,0.0501,0.0646,,0.0179,0.0072,0
59330147007,0.003,,,0.0006,,0.0483,0.0622,,0.0189,0.0043,0
59330147010,0.0047,,0.0159,0.001,,0.1275,0.1643,,,0.0038,0
59330147011,0.004,,0.0157,0.0014,,0.099,0.1276,,,0.0033,0
59330148002,0.005,,0.0289,0.0014,,0.043,0.0554,,,0.0035,0
59330148003,0.005,,0.0241,0.0011,,0.0591,0.0762,,,0.0031,0
59330148005,0.005,,0.0259,0.0015,,0.0535,0.0689,,,0.0028,0
59330148007,0.0047,,0.0232,0.0009,,0.06,0.0773,,,0.0041,0
59330148008,0.0052,,0.0366,0.0008,,0.0341,0.0439,,,0.0033,0
59330148009,0.0051,,0.0511,0.0007,,0.0309,0.0398,,,0.0032,0
59330149001,0.0048,,0.0539,0.0011,,0.0341,0.0439,,,0.0054,0
59330149004,0.0053,,,0.0,,,,,,0.0011,0
59330149006,0.0005,0.0042,,0.001,,,,,0.0066,,0
59330150003,0.0022,,,0.0001,,,,,0.0107,0.0003,0
59330150004,0.0023,,,0.0002,0.0472,,,,,0.0011,0
59330150007,0.0056,,,0.0,,,,,,0.0008,0
59330150010,0.0055,,,0.0,,,,,,0.0011,0
59330150011,0.0041,,,0.0,,,,,,0.0001,0
59330150012,0.0021,,,0.0,,,,,,0.0002,0
59330150013,0.0023,,,0.0,,,,,0.011,,0
59330151001,0.0025,,,0.0009,0.1697,0.0278,0.0359,,,0.0019,0
59330151003,0.0019,,,0.0002,0.0417,,,,,0.0012,0
59330151005,0.0018,,,0.0001,,0.06,0.0773,,0.0303,0.0029,0
59330151007,0.0018,,,0.0001,,0.0747,0.0963,,0.0378,0.0018,0
59330151009,0.0012,,,0.0,,0.0269,0.0346,,,0.0005,0
59330151012,0.0016,,,0.0,,0.0384,0.0495,,,0.0037,0
59330151013,0.0018,,,0.0001,,0.1069,0.1378,,0.0541,0.0011,0
59330151015,0.0015,,0.0048,0.0,,,,,0.0106,0.0021,0
59330152001,0.0017,,0.0051,0.0001,,,,,,0.0007,0
59330152002,0.0018,,0.0047,0.0001,,,,,,0.0006,0
59330152003,0.0017,,0.0052,0.0001,,,,,,0.0007,0
59330152004,0.0009,,0.006,0.0001,,,,,,0.0007,0
59330152005,0.0006,,,0.0,,,,,0.0095,,0
59330152006,0.0009,,0.0081,0.0002,,0.0489,0.063,,0.0123,0.0014,0
59330153001,0.0006,,0.0114,0.0002,,,,,,,0
59330153002,0.0012,,0.06,0.0002,,,,,,0.0051,0
59330153003,0.0015,,0.0083,0.0004,,,,,,0.002,0
59330154001,0.0008,,0.0055,0.0002,,0.0639,0.0823,,0.0161,0.0006,0
59330154002,0.0009,,0.0058,0.0002,,0.1135,0.1463,,0.0287,0.0008,0
59330155001,0.0009,,0.0072,0.0002,,0.0776,0.1001,,0.0196,0.0013,0
59330155002,0.0008,,0.0284,0.0001,,0.0338,0.0436,,,0.0006,0
59330155003,0.0003,,,0.0,,,,,,,0
59330155004,0.0004,,,0.0,,,,,,,0
59330156003,0.0017,,,0.0001,,,,,0.0283,0.0005,0
59330156019,0.0016,,,0.0001,,,,,,0.0003,0
59330156020,0.0015,,,0.0001,,,,,,0.0005,0
59330156021,0.0005,,,0.0001,,,,,,,0
