DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
24490267002,0.0198,0.0066,0.104,0.0033,0.015,0.0665,0.1042,,0.0538,,0
24490267003,0.0205,0.021,0.0804,0.0035,0.043,0.0682,0.0895,,0.0483,,0
24490267004,0.0231,0.0469,0.0728,0.0045,0.0455,0.0707,0.0662,,0.0397,,0
24490267007,0.0226,,0.076,0.0049,0.0097,0.0962,0.068,,0.0631,,0
24490267009,0.0232,0.0359,0.0618,0.0044,0.0375,0.0617,0.0542,,0.0372,,0
24490268002,0.0191,0.022,0.0503,0.003,0.0555,,0.0785,,0.0671,,0
24490268005,0.0201,0.02,0.0512,0.0035,0.0487,,0.0689,,0.052,,0
24490268006,0.0206,0.0352,0.0509,0.0036,0.048,,0.063,,0.0457,,0
24490268007,0.0196,0.0072,0.056,0.0037,0.0322,,0.0865,,0.0762,,0
24490268008,0.0191,0.0072,0.0756,0.0036,0.0358,0.0278,0.138,,0.0912,,0
24490269002,0.0195,0.0069,0.049,0.0036,0.0262,,0.0797,,0.0658,,0
24490269003,0.0201,0.0346,0.0483,0.0033,0.0451,,0.0573,,0.0305,,0
24490270001,0.0163,0.0081,0.0129,0.0023,,,0.0351,,0.0125,,0
24490270002,0.016,0.0075,0.0122,0.0022,,,,,0.0115,,0
24490270008,0.0301,0.2165,0.0638,0.0041,0.1401,,0.0354,,,,0
24490270009,0.0278,0.1348,0.067,0.004,0.1351,,0.0375,,,,0
24490270010,0.0285,0.1476,0.0608,0.0041,0.1361,,0.0395,,,,0
24490270011,0.0278,0.1592,0.0538,0.004,0.1296,,0.0386,,,,0
24490270012,0.0283,0.0875,0.0463,0.0046,0.1193,0.0566,0.0389,,0.0119,,0
24490270013,0.022,0.0835,0.0447,0.0023,0.0707,,,,,,0
24490270015,0.0255,0.169,0.0601,0.0036,0.1606,,,,,,0
24490270016,0.0242,0.12,0.0519,0.004,0.1211,,0.0432,,0.0224,,0
24490270017,0.0241,0.1473,0.0558,0.0036,0.1451,,0.038,,,,0
24490270018,0.0171,0.0083,0.0271,0.002,0.0094,,0.0455,,0.0262,,0
24490270019,0.0178,0.0093,0.0278,0.0025,0.0101,,0.0476,,0.0284,,0
24490270020,0.0252,0.1362,0.0432,0.0024,0.0871,,,,0.0102,,0
24490270021,0.0214,0.0817,0.0381,0.0023,0.0693,,,,,,0
24490270022,0.0102,0.008,0.0175,0.0001,,,0.0346,,,,0
24490270023,0.0185,0.0172,0.0317,0.0026,0.0089,,0.0439,,0.0377,,0
24490270024,0.0333,0.215,0.0404,0.0057,0.3202,,0.0375,,,,0
24490270025,0.0286,0.195,0.0422,0.0043,0.1617,,,,,,0
24490270026,0.0223,0.0793,0.0257,0.0029,0.0831,,,,,,0
24490270027,0.0183,0.0207,0.0401,0.0028,0.0079,,0.0401,,0.0434,,0
24490271001,0.0177,0.0207,0.025,0.0029,0.0071,,0.0375,,0.0502,,0
24490271003,0.0187,0.0206,0.0463,0.0027,0.0492,,0.0719,,0.0581,,0
24490271004,0.0187,0.0206,0.0463,0.0027,0.0492,,0.0719,,0.0581,,0
24490271005,0.0204,0.0312,0.0492,0.0036,0.0469,,0.0573,,0.0726,,0
24490271006,0.02,0.0344,0.0957,0.0035,0.0414,,0.052,,0.06,,0
24490271008,0.0193,0.0207,0.0431,0.0034,0.0095,,0.0455,,0.1137,,0
24490271009,0.0172,0.014,0.0228,0.0032,0.0075,,0.0389,,0.0315,,0
24490271010,0.017,0.0088,0.025,0.0025,0.0082,,0.0414,,0.0252,,0
24490272001,0.0147,,0.0112,0.0013,,,0.0421,,,,0
24490272003,0.0168,0.009,0.0277,0.0019,0.0102,,0.0481,,0.0282,,0
24490272004,0.0213,,0.0419,0.0054,,0.0924,0.0646,,0.0127,,0
24490272005,0.0164,,0.0668,0.0032,0.0191,0.0282,0.1626,,0.059,,0
24490272006,0.0212,0.0209,0.081,0.0038,0.0406,0.0819,0.0729,,0.0455,,0
24490272007,0.0198,,0.0414,0.0045,0.0071,0.0763,0.0837,,0.0265,,0
24490273001,0.0055,,,0.0006,,,,,,,0
24490273002,0.0069,,,0.0001,,,,,,,0
