DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
48110125022,0.0655,,0.0428,0.0029,0.0228,0.0842,0.1897,0.0854,0.0885,0.0155,0
48110125023,0.0684,,0.0373,0.003,,0.0911,0.1593,0.0714,0.0783,0.0124,0
48110125024,0.0681,,0.0383,0.0035,0.0212,0.0862,0.1795,0.0787,0.0762,0.0144,0
48110125025,0.0661,,0.0504,0.0039,0.0233,0.1374,0.1892,0.0887,0.0961,0.0165,0
48110125028,0.0765,,0.0373,0.0074,0.0525,0.0633,0.0463,,0.0969,0.0097,0
48110125029,0.0836,,0.054,0.0087,0.1286,0.0477,0.0614,,0.1701,0.019,0
48110125030,0.0865,,0.0471,0.0097,0.2883,0.0445,0.0573,,0.149,0.0242,0
48110125031,0.0649,,0.006,0.0021,,0.0347,,0.048,0.032,0.0031,0
48110125032,0.0665,0.0226,0.0578,0.0036,0.0262,0.0996,0.1396,0.1168,0.0735,0.0512,1
48110125033,0.0706,,0.0142,0.0022,,0.0776,0.038,,0.0413,0.0045,0
48110125034,0.0683,,0.0124,0.0023,,0.0683,0.0364,0.0476,0.0375,0.0061,0
48110126002,0.0825,,0.0379,0.0085,0.1125,0.0629,0.0432,,0.1614,0.0173,0
48110126003,0.0806,,0.0355,0.0082,0.0692,0.0631,0.0395,,0.2593,0.0169,0
48110126004,0.0781,,0.0241,0.0074,0.0506,0.0669,0.0351,,0.1871,0.0083,0
48110126005,0.0791,,0.0116,0.0051,,0.0639,,,0.0736,0.0044,0
48110126007,0.0762,,0.0109,0.0074,0.0388,0.0566,,,0.1927,0.0082,0
48110126008,0.0834,,0.0224,0.0109,0.0373,0.09,0.0356,,0.1165,0.0145,0
48110126009,0.0896,,0.0297,0.0125,0.0472,0.0695,0.0395,,0.1001,0.0207,0
48110126010,0.064,,0.0051,0.0019,,0.0297,,,0.0525,0.0002,0
48110126011,0.0584,,0.005,0.0012,,0.0293,,,0.023,,0
48110127001,0.0892,,0.0399,0.0114,0.0637,0.0719,0.0383,,0.0738,0.0326,0
48110127002,0.086,,0.0338,0.0101,0.0714,0.0723,0.0421,,0.0813,0.0307,0
48110130004,0.1016,0.0215,0.0183,0.0193,,0.11,,,0.0386,0.0191,0
48110131004,0.1061,0.0371,0.0172,0.023,,0.1016,,,0.0499,0.0272,0
48110132002,0.1082,0.0281,0.0237,0.0241,0.0228,0.4236,0.0421,,0.1818,0.0196,0
48110132006,0.0952,0.0184,0.0178,0.0179,,0.1132,,,0.0286,0.015,0
48110133001,0.1139,0.1155,0.011,0.0257,0.0239,0.0967,,,0.0867,0.0275,0
48110133004,0.102,0.0316,0.0076,0.0171,,0.0794,0.0386,,0.1154,0.0275,0
48110133007,0.0975,0.0184,0.0116,0.0152,,0.0685,0.0411,,0.0707,0.0163,0
48110133008,0.092,0.0341,0.006,0.0108,,0.0775,0.038,,0.0571,0.0156,0
48110133009,0.1027,0.0384,0.0133,0.0176,0.0236,0.0864,0.0361,,0.1364,0.0272,0
48110134001,0.1212,0.0447,0.0376,0.0284,0.0265,0.1347,0.074,,0.125,0.0336,0
48110134002,0.1255,0.0608,0.0362,0.0388,0.0303,0.1155,0.0714,,0.1424,0.0395,0
48110134003,0.1349,0.0677,0.0451,0.0408,0.0607,0.091,0.0804,0.0486,0.1675,0.0506,1
48110135001,0.1373,0.0571,0.0431,0.0409,0.0483,0.085,0.0745,,0.1825,0.0579,0
48110135002,0.1353,0.0609,0.0369,0.0423,0.0645,0.0804,0.1051,,0.1971,0.0637,0
48110135003,0.1273,0.0632,0.0285,0.0384,0.0386,0.0948,0.0342,,0.1626,0.0641,0
48110136001,0.1369,0.1097,0.0498,0.0442,0.0733,0.0489,0.0904,0.0572,0.1379,0.0544,1
48110136002,0.1541,0.1192,0.0495,0.0474,0.0928,0.0425,0.1968,0.0553,0.2158,0.1012,1
48110136003,0.1495,0.1029,0.0478,0.0462,0.083,0.0404,0.1578,0.0532,0.1668,0.0942,1
48110136004,0.1342,0.0959,0.0514,0.0336,0.0774,0.0841,0.0924,0.0545,0.1742,0.0625,1
48110136005,0.1307,0.0814,0.0464,0.0328,0.0569,0.1005,0.0837,0.0486,0.1424,0.045,1
48110137001,0.1449,0.0914,0.0513,0.0454,0.1033,0.0645,0.1587,0.0473,0.1735,0.0976,1
48110137002,0.1457,0.0786,0.0552,0.0463,0.2129,0.0635,0.1564,0.0473,0.1653,0.1021,1
48110137007,0.1221,0.0443,0.0367,0.0364,0.056,0.0713,0.0447,,0.1908,0.0678,0
48110137009,0.1468,0.0689,0.0458,0.0481,0.0734,0.0649,0.1237,,0.2031,0.1157,0
48110137010,0.1366,0.0578,0.0437,0.0433,0.0645,0.0693,0.049,,0.1942,0.0928,0
48110139002,0.1026,0.027,0.0096,0.0195,,0.0892,0.0342,,0.1302,0.0193,0
48110139003,0.098,0.0228,0.0124,0.0194,0.0217,0.1037,,,0.1622,0.0194,0
