DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
35250998004,0.0201,,,0.002,,,,,,,0
35250998005,0.0146,,,0.0044,,,,,0.032,0.0008,0
35250999001,0.0202,,0.0103,0.0117,,0.0501,,,0.0349,0.0027,0
35250999002,0.0243,0.0088,0.0147,0.0152,,0.1016,,0.047,0.0812,0.0106,0
35250999003,0.0194,,0.0099,0.0105,,0.0471,,,0.0273,0.0025,0
35250999004,0.0296,,0.0046,0.0114,,0.0591,,,0.0287,0.0023,0
35250999005,0.0232,,0.0045,0.0088,,0.055,,,0.0291,0.0012,0
35250999006,0.0223,0.0064,0.0115,0.0114,,0.0609,,,0.0381,0.0049,0
35251000001,0.0341,0.0141,0.0682,0.0072,,0.0582,0.056,,0.0315,0.0052,0
35251000002,0.035,0.0219,0.0743,0.0077,,0.0557,0.0542,,0.0327,0.0066,0
35251000003,0.0336,0.0228,0.0662,0.0067,,0.0557,0.0607,,0.0347,0.007,0
35251001001,0.0354,0.0469,0.0495,0.0062,0.0373,0.0647,0.0614,,0.0237,0.0076,0
35251001002,0.0325,0.0176,0.0377,0.0053,,0.0377,0.1677,,0.0493,0.0056,0
35251002001,0.0382,0.0077,0.0236,0.0071,,0.0396,0.0495,,0.038,0.0169,0
35251002002,0.0349,,0.0258,0.0048,,0.0392,0.0689,,0.0135,0.0059,0
35251002003,0.038,0.0084,0.0184,0.0064,,0.0834,0.0548,,0.0371,0.0125,0
35251003001,0.0093,0.0076,,0.0034,,,0.0369,,,0.0018,0
35251003002,0.0108,0.0097,,0.0073,,,0.0425,,,0.0022,0
35251004001,0.0109,0.0529,,0.0072,,,0.0622,,0.0267,0.0025,0
35251004002,0.0111,0.0405,,0.0075,,,0.0607,,0.026,0.0029,0
35251004003,0.0111,0.0215,,0.0066,,,0.052,,0.022,0.0023,0
35251005001,0.0108,0.0073,,0.0071,,,0.1627,,0.0437,0.0027,0
35251005002,0.0128,0.0075,0.0046,0.0086,,0.0272,0.1187,,0.0351,0.0063,0
35251005003,0.0117,0.019,,0.0078,,,0.1021,,0.0389,0.0042,0
35251005004,0.0112,0.0195,,0.007,,,0.0928,,0.0433,0.0032,0
35251005005,0.012,0.0072,,0.0083,,,0.0548,,0.0359,0.0024,0
35251005006,0.0125,,,0.0095,,,0.0646,,0.0377,0.0029,0
35251006001,0.0115,0.0121,,0.0076,,,0.0476,,0.0106,0.0029,0
35251006002,0.0112,,,0.0034,,,,,,0.0015,0
35251006003,0.0102,0.0093,,0.0064,,,0.063,,0.0375,0.0019,0
35251007001,0.015,0.015,,0.0051,,,,,0.0204,0.0074,0
35251007002,0.0139,0.0115,,0.0052,,,,,0.0149,0.0063,0
35251007003,0.0118,,,0.0047,,,0.0342,,0.0224,0.002,0
35251007004,0.0113,,,0.004,,,,,0.0224,0.0016,0
35251007005,0.013,0.0098,,0.0047,,,,,0.0156,0.0044,0
35251007007,0.0116,0.0069,,0.0042,,,,,0.0224,0.0024,0
35251007008,0.0156,0.0121,,0.0049,,,,,0.0196,0.0049,0
35251008001,0.0138,,0.0133,0.0057,,0.0465,,,0.0118,0.002,0
35251009001,0.012,,,0.0031,,,0.1086,,0.0213,0.0023,0
35251010001,0.0144,0.0072,,0.0036,,,0.0851,,0.0167,0.0044,0
35251010003,0.0138,0.0074,,0.0032,,,0.0638,,0.0125,0.0041,0
35251010005,0.0123,,,0.0023,,,0.1944,,0.0381,0.0027,0
35251010006,0.0126,,,0.0021,,,0.116,,0.0228,0.0022,0
35251011001,0.027,,0.016,0.0021,,0.0282,0.049,,,0.0018,0
35251011002,0.0215,,0.0192,0.0038,0.0136,0.2001,,0.0493,0.0845,0.0017,0
35251011003,0.0191,,,0.0031,,,,,0.0142,,0
35251012001,0.0223,,0.0108,0.004,0.0107,0.154,,,0.0876,0.0032,0
35251012002,0.0206,,0.0085,0.0036,0.0085,0.2093,,,0.1053,0.0023,0
35251012003,0.0222,,0.0107,0.004,0.0105,0.1535,,,0.0877,0.0026,0
