DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
35180385001,0.0406,0.0123,0.074,0.0145,,0.1418,,,0.0192,0.0017,0
35180385003,0.0425,0.0126,0.0762,0.0155,,0.1452,,,0.0196,0.0026,0
35180385004,0.0436,0.0228,0.0577,0.0152,,0.1565,,,0.0253,0.0041,0
35180385005,0.0383,0.0227,0.0523,0.014,0.0131,0.1593,,,0.029,0.0081,0
35180385006,0.0432,0.0146,0.0794,0.0162,,0.1607,,,0.0228,0.0027,0
35180388001,0.0405,0.0117,0.0482,0.0129,,0.1665,,,0.0182,0.0019,0
35180388002,0.041,0.0158,0.0353,0.0121,,0.1528,,,0.0246,0.0022,0
35180388003,0.0415,0.0239,0.0388,0.0125,,0.1647,,,0.0268,0.0042,0
35180389001,0.0415,0.0085,0.0382,0.0129,,0.1548,,,0.0133,0.0021,0
35180389002,0.0441,0.0217,0.0475,0.0145,,0.2083,,0.0483,0.0218,0.0055,0
35180389003,0.0448,0.0228,0.0488,0.0149,,0.216,,0.0501,0.0229,0.0061,0
35180389004,0.0444,0.0081,0.0378,0.0142,,0.1732,,0.0504,0.021,0.0097,0
35180389005,0.0437,0.0076,0.0365,0.0138,,0.1699,,0.0486,0.0115,0.01,0
35180391001,0.0444,0.0084,0.0506,0.0139,,0.2234,,0.0516,0.0115,0.0077,0
35180391002,0.0454,0.0093,0.0522,0.0148,,0.2302,,0.0545,0.0111,0.0116,0
35180391003,0.0479,0.0103,0.0476,0.0184,,0.1976,,0.0572,0.0338,0.0113,0
35180392001,0.05,0.0557,0.0553,0.0187,,0.2206,,0.07,0.0434,0.0172,0
35180392002,0.0491,0.0115,0.0608,0.0193,,0.2101,,0.0607,0.0364,0.0113,0
35180392005,0.0514,0.0312,0.0509,0.0214,,0.2136,,0.0753,0.0604,0.0215,0
35180393001,0.0446,0.0338,0.0777,0.0128,,0.3307,,0.0865,0.0497,0.0115,0
35180393002,0.0468,0.0323,0.0458,0.0168,,0.1512,,0.0679,0.0362,0.0086,0
35180393003,0.0493,0.0623,0.0529,0.0182,,0.212,,0.0721,0.0503,0.0153,0
35180393004,0.0472,0.039,0.05,0.0168,,0.1754,,0.0737,0.0455,0.0088,0
35180394001,0.0567,0.0578,0.1051,0.0248,0.0378,0.3109,,0.2039,0.0442,0.0163,1
35180394002,0.0468,0.0452,0.0755,0.0162,0.0298,0.2573,,0.1346,0.0542,0.0224,1
35180397003,0.0523,0.0187,0.0169,0.0209,,0.1087,,,0.0653,0.0176,0
35180397004,0.0544,0.043,0.0517,0.0221,,0.2182,,0.0693,0.1098,0.0257,0
35180397005,0.0501,0.0283,0.0309,0.018,,0.1709,,0.0532,0.1263,0.0256,0
35180398001,0.0553,0.0616,0.0673,0.0229,,0.2803,,0.0769,0.1157,0.0216,0
35180398002,0.0536,0.0634,0.0553,0.0203,,0.2034,,0.07,0.094,0.0193,0
35180398003,0.0543,0.087,0.07,0.0208,0.0283,0.2588,,0.0805,0.11,0.0199,1
35180399001,0.0557,0.0421,0.0756,0.0223,0.0546,0.2655,,0.0844,0.0987,0.0256,1
35180399002,0.0498,0.019,0.0527,0.0178,0.0214,0.1754,,0.0618,0.0635,0.0098,1
35180399003,0.051,0.0359,0.0697,0.0176,,0.2955,,0.0624,0.1065,0.0154,0
35180400001,0.0489,0.0195,0.0425,0.0157,,0.1386,,0.0504,0.0597,0.0158,0
35180400002,0.0462,0.0093,0.0225,0.0135,,0.0913,,,0.0377,0.0086,0
35180401001,0.0457,0.0078,0.0258,0.012,,0.083,,,0.0235,0.0078,0
35180401002,0.0468,0.0144,0.0247,0.0127,,0.0789,,,0.0462,0.0084,0
35180402001,0.0509,0.021,0.0154,0.0162,,0.1104,,,0.0782,0.0175,0
35180402004,0.0469,0.0178,0.0127,0.0127,,0.0697,,,0.0729,0.0112,0
35180403001,0.0545,0.0187,0.0058,0.0231,0.0152,0.0791,,,0.0528,0.017,0
35180403002,0.0525,0.0259,0.0056,0.02,0.0162,0.0816,,,0.0698,0.0183,0
35180403003,0.0421,0.0359,0.0175,0.0106,,0.101,,,0.1174,0.0138,0
35180404001,0.0435,0.0174,0.01,0.0109,,0.0862,,,0.0695,0.0052,0
35180404002,0.0438,0.0208,0.0105,0.0115,,0.0901,,,0.1309,0.0059,0
35180404003,0.0441,0.0179,0.0111,0.0122,,0.0934,,,0.0726,0.0057,0
35180404004,0.0436,0.018,0.0062,0.0126,0.0143,0.0695,,,0.0335,0.0044,0
35180404005,0.0435,0.01,0.0063,0.0114,,0.0649,,,0.037,0.0023,0
35180405001,0.0564,0.0386,0.0104,0.0372,0.0194,0.2567,0.0383,0.0528,,0.0161,1
