DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
24650153012,0.0804,0.0335,0.0304,0.0094,,,,,0.0469,0.0075,0
24650153013,0.0873,0.069,0.037,0.0106,,0.0299,,,0.0718,0.0143,0
24650153014,0.081,0.0452,0.029,0.0089,,,,,0.056,0.0077,0
24650153015,0.0831,0.0593,0.0409,0.0098,,0.028,,,0.0681,0.011,0
24650153016,0.0936,0.0544,0.0387,0.0127,,0.0363,0.0364,,0.0665,0.0199,0
24650153017,0.0856,0.0609,0.0388,0.0105,,0.0356,0.0369,,0.0671,0.0217,0
24650154001,0.091,0.0844,0.046,0.0136,,0.0435,,,0.131,0.0099,0
24650154002,0.0971,0.0351,0.0961,0.016,,0.0477,,,0.0493,0.0092,0
24650154003,0.0997,0.0344,0.0527,0.0164,,0.0557,,,0.0503,0.0121,0
24650155001,0.1015,0.0359,0.0572,0.026,,0.0671,,,0.0559,0.0184,0
24650155002,0.1004,0.0388,0.0634,0.0168,,0.0825,,,0.0648,0.0254,0
24650155003,0.1059,0.0243,0.0586,0.0275,,0.2552,,,0.0952,0.0288,0
24650155004,0.1067,0.0253,0.0579,0.0292,,0.2145,,,0.0865,0.0264,0
24650156001,0.0905,0.0263,0.0382,0.0113,,0.044,,,0.049,0.0092,0
24650156002,0.0957,0.0088,0.042,0.0145,,0.0582,,,0.0404,0.0179,0
24650156003,0.1014,0.0467,0.0575,0.0166,,0.0619,,,0.0778,0.0225,0
24650156004,0.093,0.0077,0.0391,0.0132,,0.0582,,,0.0376,0.0161,0
24650156005,0.0979,0.0158,0.0458,0.0233,,0.0733,,,0.0449,0.0266,0
24650158001,0.1045,0.0284,0.0898,0.0142,0.0507,0.072,,,0.0182,0.0553,0
24650158005,0.1022,0.0411,0.0206,0.0142,0.0311,0.0392,,,,0.0294,0
24650158006,0.0995,0.0292,0.0493,0.0234,0.0423,0.0582,,,0.0147,0.0756,0
24650158007,0.1066,0.0279,0.0477,0.0257,0.0497,0.0762,,,0.0192,0.0655,0
24650158008,0.117,0.0444,0.0463,0.0347,0.0747,0.0591,,,0.0273,0.5926,0
24650158009,0.1046,0.031,0.046,0.0292,0.0211,0.0628,,,0.0159,0.1378,0
24650158010,0.1029,0.0397,0.0283,0.0313,0.0587,0.0373,,,,0.0496,0
24650158011,0.1129,0.0425,0.0445,0.0326,0.0588,0.0514,,,0.024,0.0658,0
24650158012,0.0987,0.0233,0.0501,0.0263,0.0162,0.0792,,,0.0301,0.067,0
24650158013,0.1175,0.0622,0.0407,0.0362,0.1064,0.0495,,,0.0232,0.0776,0
24650158014,0.0766,0.0304,0.0224,0.0052,0.0472,0.0445,,,0.0112,0.0229,0
24650158015,0.1074,0.0357,0.0262,0.0327,0.0489,0.0373,,,,0.0259,0
24650159001,0.101,0.0221,0.0506,0.017,,0.1806,,,0.0728,0.0206,0
24650160001,0.1082,0.0466,0.0829,0.0316,0.0462,0.1738,,,0.091,0.0333,0
24650160002,0.1044,0.0501,0.0738,0.0301,0.0504,0.0843,0.0364,,0.071,0.0375,0
24650160003,0.1057,0.0388,0.1097,0.0307,0.0481,0.1071,,,0.057,0.0294,0
24650160004,0.1089,0.0465,0.073,0.0319,0.0199,0.11,,,0.0584,0.034,0
24650160009,0.1226,0.0747,0.0428,0.0392,0.1063,0.0416,,,0.0237,0.0457,0
24650160010,0.1174,0.0913,0.0542,0.0346,0.1522,0.0421,,,0.0242,0.0665,0
24650160011,0.1199,0.0809,0.0678,0.0465,0.1748,0.0384,0.0428,,0.0244,0.0841,0
24650160012,0.1225,0.09,0.0535,0.0401,0.2047,0.0347,0.0349,,0.0227,0.0614,0
24650160013,0.1075,0.0763,0.0327,0.0273,0.1059,0.0359,,,0.0104,0.2422,0
24650160014,0.1144,0.0741,0.036,0.03,0.1049,0.0327,,,0.0225,0.0913,0
24650160015,0.1216,0.0873,0.0354,0.0333,0.1167,0.0302,,,0.0254,0.1167,0
24650160016,0.1184,0.0752,0.0356,0.032,0.1005,0.0271,,,0.0325,0.123,0
24650160017,0.1163,0.0595,0.0258,0.032,0.099,,,,0.0399,0.0878,0
24650160018,0.0899,0.0503,0.0172,0.0279,0.0735,,,0.047,0.0336,0.0482,0
24650160019,0.1207,0.0789,0.0364,0.0326,0.1113,0.0404,,,0.0102,0.0929,0
24650160020,0.0588,0.0195,0.0102,0.0,,0.0265,,,0.0111,0.0255,0
24650160021,0.1197,0.0775,0.0325,0.0319,0.091,0.0293,,,0.0226,0.059,0
24650161001,0.1001,0.0544,0.065,0.0149,,0.044,0.0432,,0.0743,0.0217,0
