DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
24730029007,0.0331,0.0208,0.1061,0.0063,,0.061,,,0.0466,0.0057,0
24730029008,0.0369,0.0216,0.1547,0.0076,,0.0766,,,0.0703,0.0146,0
24730029009,0.0331,0.0207,0.1061,0.0063,,0.061,,,0.0463,0.0057,0
24730029010,0.0335,,0.1067,0.0079,,0.055,,,0.012,0.0055,0
24730029011,0.033,,0.104,0.0078,,0.0542,,,0.0118,0.0053,0
24730030001,0.0342,0.022,0.1181,0.0066,,0.0646,,,0.0479,0.0067,0
24730030002,0.0362,0.0244,0.1675,0.0075,,0.0695,,,0.0516,0.0085,0
24730030003,0.0333,0.0312,0.1381,0.007,,0.091,,,0.0928,0.0067,0
24730030004,0.033,0.0297,0.1489,0.0065,,0.091,,,0.0904,0.0066,0
24730030005,0.0339,0.034,0.1291,0.0075,,0.0927,,,0.1172,0.0073,0
24730030006,0.0345,0.041,0.1468,0.009,,0.0982,,,0.1358,0.009,0
24730031001,0.0343,0.03,0.0616,0.0063,,0.1792,,,0.1358,0.0058,0
24730031002,0.034,0.0368,0.0904,0.0081,,0.0896,,,0.1773,0.0058,0
24730031003,0.0415,0.0085,0.0669,0.0058,,0.0514,,,0.0638,0.0141,0
24730032003,0.0345,0.0791,0.0738,0.0144,,0.1054,,,0.1765,0.0047,0
24730032005,0.0368,0.0282,0.0546,0.0062,,0.1132,,,0.1,0.0081,0
24730032007,0.0344,0.031,0.062,0.0064,,0.1792,,,0.1371,0.006,0
24730032008,0.0338,0.0786,0.0683,0.014,,0.0961,,,0.1234,0.0041,0
24730033002,0.0309,0.0103,0.0554,0.0035,,,,,,0.0022,0
24730033005,0.0292,0.0074,0.0702,0.0026,,,,,,0.001,0
24730033006,0.0316,0.0089,0.056,0.0039,,,,,0.0105,0.003,0
24730033007,0.0286,,0.1062,0.0023,,,,,,0.0003,0
24730033008,0.0371,0.0066,0.0667,0.0054,,0.0408,,,0.0507,0.0136,0
24730033009,0.0408,0.008,0.0737,0.0063,,0.0483,,0.0466,0.0631,0.0181,0
24730033010,0.0399,,0.054,0.0056,,0.038,,0.0486,0.0238,0.0163,0
24730033011,0.0407,0.0069,0.061,0.0059,,0.0421,,0.0504,0.0557,0.0326,0
24730033015,0.0282,,0.0995,0.0027,,,,,,0.0008,0
24730033017,0.0286,,0.1064,0.0023,,,,,,0.0003,0
24730033018,0.0292,,0.1201,0.0027,,,,,,0.0006,0
24730033019,0.033,,0.0561,0.0041,,0.0309,,,0.0352,0.0052,0
24730033020,0.0287,,0.0546,0.0029,,,,,,0.001,0
24730033021,0.0263,,0.038,0.0021,,,,,,0.0002,0
24730034001,0.0407,0.0078,0.0725,0.0062,,0.0477,,0.0473,0.0717,0.0317,0
24730034002,0.0372,,0.0462,0.0053,,0.0366,,,0.0209,0.0079,0
24730034003,0.0361,,0.0387,0.0051,,0.0347,,,0.01,0.0055,0
24730034004,0.0373,,0.0409,0.0054,,0.0344,,,0.0222,0.0057,0
24730116002,0.0295,,0.1273,0.0036,,0.072,0.0436,0.1296,0.0547,0.0036,0
24730116003,0.0305,0.0068,0.1265,0.0029,0.0393,0.055,0.0662,0.0987,0.0775,0.0033,1
24730116006,0.0294,,0.1251,0.0036,,0.0707,0.0432,0.1273,0.054,0.0035,0
24730116007,0.0296,,0.1551,0.0035,,0.0762,0.0443,0.1372,0.0567,0.006,0
24730117001,0.0293,0.0073,0.1956,0.0031,,0.11,0.0401,0.1988,0.0695,0.0029,0
24730117002,0.03,0.0081,0.211,0.0048,,0.1468,0.0418,0.2656,0.0839,0.0036,0
24730117003,0.0308,0.0138,0.1634,0.0038,0.0305,0.0825,0.0476,0.1488,0.0825,0.0032,1
24730117004,0.0318,0.0079,0.2129,0.0043,0.0422,0.0972,0.052,0.125,0.1051,0.0036,1
24730117005,0.032,0.0141,0.233,0.0043,0.0322,0.1058,0.0485,0.1427,0.1195,0.0031,1
24730118005,0.0323,0.0111,0.2754,0.0048,,0.0921,0.0349,0.1662,0.0634,0.003,0
24730118006,0.0324,0.0115,0.2739,0.0049,,0.09,0.0346,0.1624,0.0612,0.0031,0
24730118008,0.0277,0.0135,0.2363,0.0048,,0.0649,,0.1168,0.0164,0.0039,0
24730118009,0.0277,0.0137,0.2261,0.0049,,0.066,,0.1187,0.0167,0.0037,0
