DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
48130271003,0.001,0.0151,0.0105,0.0015,0.0228,0.0566,,0.0641,,,0
48130271004,0.0007,0.0063,0.0084,0.0012,,0.067,,,,,0
48130271005,0.0008,0.0078,0.0108,0.0015,,0.0824,,0.0497,,,0
48130271006,0.0007,0.0063,0.0084,0.0012,,0.0865,,,,,0
48130271007,0.0007,0.0072,0.0097,0.0013,,0.0865,,0.0476,,,0
48130271012,0.0013,0.0098,0.0633,0.0053,0.0231,0.0446,,0.0624,0.0105,,0
48130271015,0.0013,,0.008,0.0014,,0.0295,,0.0567,0.0141,,0
48130271021,0.0011,0.0182,0.0353,0.0033,0.0253,0.055,,0.0618,0.0112,,0
48130271022,0.0009,0.0081,0.0183,0.002,,0.0421,,0.052,0.012,,0
48130271023,0.0011,,0.0046,0.0009,,,,,,,0
48130271024,,,,,,,,,,,0
48130271025,0.0014,0.0261,0.0284,0.0032,0.0478,0.038,,0.0805,0.0111,,0
48130271026,0.0008,,0.0064,0.0012,,,,0.0536,0.0133,,0
48130271027,0.0007,,0.0049,0.001,,,,,,,0
48130271028,0.0004,,,,,,,,,,0
