DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
59350057008,0.0396,0.2059,0.0432,0.0572,0.2039,0.09,0.0342,,0.0924,0.0454,0
59350057010,0.039,0.1795,0.0598,0.0646,0.1211,0.1132,,,0.1046,0.0318,0
59350057011,0.0385,0.1811,0.0592,0.063,0.1238,0.1201,,,0.0763,0.023,0
59350057012,0.0352,0.0887,0.1165,0.0416,0.0803,0.0762,,,0.1301,0.0229,0
59350057013,0.0346,0.0661,0.0759,0.0382,0.0405,0.0707,,,0.068,0.0221,0
59350057014,0.0389,0.1962,0.0449,0.0473,0.1257,0.3517,0.0377,,0.06,0.0261,0
59350057015,0.0356,0.1294,0.026,0.0501,0.1331,0.0695,,,0.1051,0.0281,0
59350057016,0.0344,0.1467,0.0338,0.0524,0.1179,0.0542,,,0.1484,0.0243,0
59350058007,0.0342,0.0128,0.0596,0.0427,,0.0299,,,0.0282,0.0126,0
59350058008,0.027,0.0266,0.0127,0.0239,0.0293,0.0371,,,0.0311,0.0058,0
59350059001,0.032,0.0948,0.0148,0.0356,0.1165,0.0628,,,0.0703,0.0155,0
59350059002,0.0279,0.0384,0.0056,0.0283,0.0584,0.0392,,,0.0337,0.0074,0
59350060002,0.0255,0.0871,0.0109,0.019,0.0918,0.0945,0.0548,,0.0668,0.0146,0
59350060010,0.0369,0.13,0.0133,0.0364,0.2413,0.1074,0.0392,,0.047,0.0208,0
59350061005,0.0236,0.027,,0.0196,,0.0918,0.0593,,0.0286,0.0055,0
59350061006,0.0332,0.1085,0.0099,0.0724,0.0737,0.083,0.0537,,0.025,0.0128,0
59350061007,0.0232,0.0248,,0.0189,,0.0819,0.0531,,0.025,0.0041,0
59350062001,0.0246,0.0176,,0.015,,0.0629,0.0823,,0.0277,0.0021,0
59350062002,0.0242,0.0088,,0.0129,,0.0271,0.0699,0.0493,0.0257,0.0021,0
59350062003,0.0237,0.0084,,0.0125,,0.0265,0.0671,,0.0477,0.002,0
59350062004,0.0215,0.0066,,0.0081,,0.028,0.0526,0.0524,0.0826,0.0035,0
59350062005,0.0211,,,0.0077,,,0.049,,0.0345,0.0016,0
59350062006,0.0219,0.0211,,0.0124,,0.1293,0.0395,,0.0327,0.0025,0
59350062007,0.0218,0.0207,,0.0152,,0.0825,0.0375,,0.0209,0.0059,0
59350066001,0.0324,0.0577,0.0477,0.0295,0.0351,0.066,,,0.0476,0.008,0
59350066003,0.0376,0.1809,0.0415,0.044,0.1105,0.3338,0.0364,,0.0552,0.0158,0
59350066005,0.0275,0.0736,0.0122,0.0197,0.081,0.0972,0.0468,0.0528,0.0352,0.0217,1
59350066007,0.0294,0.0472,0.0106,0.0219,0.0625,0.0792,0.0401,,0.0167,0.0122,0
59350066009,0.0316,,,0.0176,,0.0324,,0.0582,0.0114,0.0057,0
59350067001,0.0327,0.0189,0.037,0.0244,,0.0489,,,0.0997,0.0031,0
59350067002,0.029,0.0093,0.0243,0.0207,,0.0309,,,0.0259,0.0012,0
59350067004,0.0303,0.0309,0.0321,0.0241,,0.0758,,0.0516,0.0803,0.0024,0
59350067005,0.0317,0.0347,0.0433,0.0263,,0.0766,,0.0483,0.0788,0.0029,0
59350067007,0.0295,,0.0155,0.0203,,0.0297,,0.0618,0.0123,0.0023,0
59350068002,0.0287,,,0.0126,,0.0269,,0.152,0.0317,0.002,0
59350069001,0.0345,0.07,0.0345,0.0261,,0.0495,,0.0486,0.032,0.0053,0
59350069003,0.0302,0.0227,0.0098,0.0183,,0.0327,,,0.0215,0.0015,0
59350069004,0.0322,,0.0252,0.0116,,,,,,,0
59350069005,0.0323,0.007,0.0379,0.0171,,0.0276,,,,0.0016,0
59350069006,0.0325,0.0072,0.0386,0.0172,,0.028,,,,0.0016,0
59350070001,0.0394,0.0409,0.0689,0.0264,0.0283,0.0392,,,0.0646,0.0144,0
59350070002,0.0334,0.0213,0.034,0.0208,,0.0408,,,0.0322,0.0078,0
59350070003,0.0343,0.0145,0.0368,0.0141,,0.0309,,,0.0321,0.0057,0
59350070004,0.0349,0.0275,0.0319,0.0235,,0.0471,,,0.0393,0.0101,0
59350071005,0.0528,0.1115,0.0439,0.0233,0.0686,,,,0.0364,0.0154,0
59350071006,0.0452,0.0708,0.0347,0.0198,0.0793,,,,0.0149,0.0187,0
59350071008,0.0577,0.0475,0.0511,0.0236,0.0214,,,,0.0118,0.0125,0
59350071009,0.0477,0.0322,0.0473,0.0203,,,,,0.0104,0.0165,0
59350071018,0.0496,0.1091,0.0448,0.0229,0.0373,,,,0.061,0.0158,0
