DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
47010242001,,,,,,,,,,,0
47010242002,,,,,,,,,,,0
47010242003,,,,,,,,,,,0
47010242004,,,,,,,,,,,0
47010242005,,,,,,,,,,,0
47010242006,,,,,,,,,,,0
47010242007,,,,,,,,,,,0
47010242008,,,,,,,,,,,0
47010242009,,,,,,,,,,,0
47010242010,,,,,,,,,,,0
47010242011,,,,,,,,,,,0
47010242012,,,,,,,,,,,0
47010242013,,,,,,,,,,,0
47010242014,,,,,,,,,,,0
47010242015,,,,,,,,,,,0
47010242016,,,,,,,,,,,0
47010242017,,,,,,,,,,,0
47010242018,,,,,,,,,,,0
47010242019,,,,,,,,,,,0
47010242020,,,,,,,,,,,0
47010242021,,,,,,,,,,,0
47010242022,,,,,,,,,,,0
47010242023,,,,,,,,,,,0
47010242024,,,,,,,,,,,0
47010242025,,,,,,,,,,,0
47010242026,,,,,,,,,,,0
47010242027,,,,,,,,,,,0
47010242028,,,,,,,,,,,0
47010242029,,,,,,,,,,,0
47010242030,,,,,,,,,,,0
47010242031,,,,,,,,,,,0
47010242032,,,,,,,,,,,0
47010242033,,,,,,,,,,,0
47010242034,,,,,,,,,,,0
47010242035,,,,,,,,,,,0
47010242036,,,,,,,,,,,0
47010242037,,,,,,,,,,,0
47010242038,,,,,,,,,,,0
47010242039,,,,,,,,,,,0
47010242040,,,,,,,,,,,0
47010242041,,,,,,,,,,,0
47010242042,,,,,,,,,,,0
47010242043,,,,,,,,,,,0
47010242044,,,,,,,,,,,0
47010242045,,,,,,,,,,,0
47010242046,,,,,,,,,,,0
47010242047,,,,,,,,,,,0
47010242048,,,,,,,,,,,0
47010242049,,,,,,,,,,,0
