DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
35430821019,0.0059,,,0.0009,,,,,,,0
35430821020,0.0057,,,0.0009,,,,,,,0
35430821021,0.006,,,0.0009,,,,,,,0
35430821022,0.0054,,,0.0,,,,,,,0
35430821023,0.0061,,,0.001,,,,,,,0
35430822001,0.0047,,,0.001,,,,,,,0
35430822002,0.0047,,,0.0009,,,,,,,0
35430822003,0.0046,,,0.0009,,,,,,,0
35430822004,0.0046,,,0.0009,,,,,,,0
35430822005,0.0046,,,0.0006,,,,,,,0
35430822006,0.0044,,,0.0006,,,,,,,0
35430822007,0.0043,,,0.0006,,,,,,,0
35430822008,0.0043,,,0.0006,,,,,,,0
35430822009,0.0043,,,0.0006,,,,,,,0
35430822010,0.0042,,,0.0006,,,,,,,0
35430822011,0.0037,,,0.0,,,,,,,0
35430822012,0.0037,,,0.0,,,,,,,0
35430824001,0.0083,,,0.0046,,,0.0366,,,,0
35430824002,0.0078,,0.0047,0.0051,,,,,,,0
35430824003,0.01,,0.0055,0.021,,,0.056,,,,0
35430824004,0.0101,,0.0054,0.0205,,,0.0709,,,,0
35430824005,0.01,,0.0046,0.0199,,,0.0762,,,,0
35430825001,0.0067,,0.0149,0.0029,,0.0308,,,,,0
35430825003,0.0157,0.0487,0.1133,0.0375,,,0.0719,0.1148,,,0
35430825004,0.01,,0.02,0.0208,,,0.063,0.052,,,0
35430825005,0.0072,,0.0753,0.003,,0.0565,,,0.0143,,0
35430825006,0.007,,0.0751,0.0021,,0.0542,,,0.0137,,0
35430825007,0.0099,,0.0462,0.0215,,0.0396,0.0411,0.0512,0.01,,0
35430825008,0.0101,,0.0458,0.0221,,0.0648,0.0428,0.0532,,,0
35430825009,0.0093,,0.0351,0.0201,,0.0408,0.0372,0.0466,0.0103,,0
35430825010,0.0086,,0.0341,0.0177,,0.0471,,,0.0119,,0
35430825011,0.0083,,0.0881,0.0166,,0.0582,,,0.0147,,0
35430825012,0.0082,,0.0438,0.016,,0.0747,,,0.0189,,0
35430825013,0.0073,,0.0208,0.0126,,0.0917,,,0.0232,,0
35430825014,0.0077,,0.0213,0.015,,0.0397,,,0.01,,0
35430825015,0.0066,,0.0257,0.0017,,0.0762,,,0.0192,,0
35430825016,0.0075,,0.0241,0.0131,,0.0917,,,0.0232,,0
35430826001,0.0123,0.0075,0.0362,0.0277,,,0.0739,0.0686,,,0
35430826002,0.0148,0.0169,0.0371,0.038,,,0.1063,0.0824,,,0
35430826003,0.0122,,0.0216,0.0254,,,0.0797,0.0549,,,0
35430826004,0.0175,0.0597,0.0632,0.0448,,,0.0837,0.1372,,,0
35430826005,0.0182,0.0649,0.0805,0.0446,,,0.0573,0.1662,0.0106,,0
35430826006,0.0209,0.0772,0.0718,0.0509,,,0.0567,0.217,0.0108,,0
35430827001,0.0102,,0.0057,0.0208,,,0.0785,,,,0
35430827002,,,,,,,,,,,0
35430827003,0.0161,0.0482,0.0426,0.0381,,,0.1502,0.1296,,,0
35430827004,0.0146,0.0278,0.0306,0.0333,,,0.2172,0.1062,,,0
35430827005,0.0196,0.0744,0.059,0.0452,,,0.0982,0.1977,,,0
35430827006,0.027,0.1179,0.0797,0.0528,,,0.0729,0.3968,,,0
