DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
35211797006,0.0514,0.0491,0.0609,0.0109,,0.0626,0.0428,,0.0565,0.0015,0
35211801001,0.0532,0.0616,0.0758,0.0053,0.0253,0.0667,,,0.1027,0.0006,0
35211802001,0.0476,0.0241,0.0314,0.005,0.0272,0.0592,,,0.0507,0.0006,0
35211802002,0.0506,0.0253,0.0388,0.0057,0.0283,0.0641,,,0.0542,0.0008,0
35211803001,0.0556,0.0515,0.0602,0.0058,0.0287,0.0729,,,0.1014,0.0009,0
35211803002,0.0537,0.0781,0.095,0.0056,0.0259,0.0675,,,0.1043,0.0006,0
35211804001,0.0538,0.0403,0.0432,0.0047,0.0401,0.0915,,,0.0784,0.0007,0
35211804002,0.0534,0.0495,0.0523,0.0047,0.0348,0.1044,,,0.1536,0.0011,0
35211805001,0.0557,0.0391,0.0286,0.0054,0.0415,0.1368,,,0.0518,0.0005,0
35211805002,0.0569,0.0943,0.0479,0.0051,0.0415,0.1757,,,0.08,0.0008,0
35211806001,0.0573,0.0986,0.0474,0.0051,0.0401,0.1791,,,0.0784,0.001,0
35211806002,0.0578,0.1163,0.0457,0.0055,0.0322,0.1919,,,0.0751,0.0009,0
35211806003,0.0565,0.0654,0.0491,0.005,0.0279,0.1195,0.0342,,0.1148,0.001,0
35211806004,0.0545,0.0553,0.05,0.0057,,0.1382,0.0414,,0.0929,0.0013,0
35211807001,0.0627,0.0397,0.0247,0.0063,,0.1964,,,0.0478,0.0011,0
35211807003,0.0594,0.0823,0.0254,0.0069,0.0212,0.1478,,,0.021,0.0008,0
35211807004,0.0498,0.0368,0.0298,0.0034,0.0415,0.0341,,,0.0479,0.0004,0
35211807005,0.0506,,0.05,0.0049,,0.0272,,,0.0204,0.0006,0
35211808001,0.0552,0.0205,0.0675,0.0062,,0.037,,,0.0259,0.001,0
35211808002,0.052,0.0325,0.0838,0.005,,0.0299,,,0.0424,0.001,0
35211809001,0.0535,0.0252,0.0917,0.0069,,,,,0.0605,0.0009,0
35211809002,0.0537,0.0279,0.0579,0.0076,,,,,0.1329,0.0008,0
35211809003,0.0476,0.0239,0.0444,0.0065,,,,,0.0528,0.0006,0
35211812001,0.0339,,,0.0045,,0.0338,,,,0.0006,0
35211812004,0.0338,0.0055,,0.0016,,0.0344,,,0.0174,0.0025,0
35211870001,0.0503,,0.0397,0.0049,,0.0408,,,0.1028,0.0011,0
35211870002,0.0637,0.0625,0.0386,0.0113,0.008,0.0947,0.0963,,0.0399,0.0014,0
35211870003,0.0656,0.0157,0.0475,0.0089,,0.0775,0.1276,,0.0737,0.0026,0
35211870005,0.0588,,0.0049,0.0029,,,0.0344,,,0.0033,0
35211870006,0.0611,,0.0155,0.0037,,0.0291,0.0414,,,0.0042,0
35211870007,0.0471,0.0071,0.0349,0.0021,0.0354,0.0661,0.0404,,0.0755,0.0005,0
35211871001,0.0607,0.0097,0.0289,0.0073,,0.0601,0.2418,,0.0474,0.0012,0
35211871002,0.0635,0.0121,0.0429,0.0091,0.0075,0.0941,0.2418,,0.0582,0.0014,0
35211872001,0.0577,0.0176,,0.0034,0.0079,0.045,0.0579,,0.0384,0.0004,0
35211872002,0.0464,0.0074,,0.0026,,0.046,0.0593,,0.1118,,0
35211872003,0.0544,0.0181,,0.0034,0.0154,0.0531,0.0685,,0.0423,0.0,0
35211872004,0.0576,0.0211,,0.0037,0.0091,0.0521,0.0671,,0.0457,0.0003,0
35211872006,0.0495,0.0213,0.0127,0.0046,,0.0293,,,0.0227,0.0015,0
35211872007,0.0509,0.0457,0.0219,0.006,,0.0263,,,0.0317,0.0011,0
35211872008,0.0487,0.0367,0.0147,0.0051,,,,,0.0164,0.0008,0
35211872009,0.0487,0.0849,0.0113,0.0047,,0.0304,,,,0.0002,0
35211872010,0.0527,0.0781,0.0126,0.005,,0.0335,,,0.0102,0.0005,0
35211872011,0.0512,0.019,0.0133,0.0052,,0.0344,,,0.0295,0.002,0
35211872012,0.0489,0.0211,0.0128,0.0053,,0.0274,,,0.0116,0.0013,0
35211872013,0.052,0.0896,0.0126,0.0051,,0.035,,,,0.0005,0
35211872014,0.0525,0.0198,0.0046,0.0034,,0.0363,0.0468,,0.0308,0.0008,0
35211872015,0.05,0.0429,0.016,0.0058,,,,,0.0297,0.001,0
35211872017,0.0483,0.014,0.0123,0.0051,,0.0269,,,0.0111,0.0012,0
35211872018,0.0415,,,0.0008,,,,,,0.0022,0
