DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
59330099005,0.013,,,0.0119,,0.0477,0.0389,,0.0115,0.0028,0
59330099006,0.015,,0.0051,0.013,,0.0698,0.0369,,,0.0042,0
59330100001,0.0143,,0.0183,0.0116,,0.0761,,,0.0258,0.0033,0
59330100002,0.0151,,0.0399,0.0027,,0.111,,0.047,0.075,0.0087,0
59330100003,0.0166,,0.0342,0.0118,,0.1065,,,0.0504,0.01,0
59330100004,0.0158,,0.0332,0.0117,,0.1094,0.0361,,0.0604,0.0106,0
59330101002,0.0141,,0.0177,0.0115,,0.0741,,,0.0248,0.0032,0
59330101006,0.0152,,0.0381,0.0031,,0.1074,,0.0504,0.087,0.0105,0
59330101009,0.0155,,0.0458,0.0116,,0.1162,0.0372,,0.0381,0.0054,0
59330101010,0.015,,0.0357,0.0026,,0.0902,,,0.0397,0.0048,0
59330101011,0.0172,0.015,0.0584,0.0035,0.0329,0.1528,0.0342,0.047,0.1292,0.0116,1
59330102001,0.015,,0.1159,0.0028,,0.4176,0.038,,0.0504,0.0073,0
59330102002,0.0141,0.0131,0.0659,0.0025,0.0289,0.1373,0.0389,,0.0649,0.0047,0
59330102003,0.0144,,0.0656,0.0026,,0.1608,0.0369,,0.0521,0.005,0
59330102005,0.0136,,0.0699,0.0023,,0.182,0.038,,0.0297,0.0029,0
59330102006,0.0149,0.0131,0.0717,0.0024,0.0289,0.1209,0.0447,,0.0585,0.0035,0
59330103001,0.0151,0.0138,0.0751,0.0025,0.0305,0.0902,0.0364,,0.1367,0.0048,0
59330103002,0.015,0.0155,0.0661,0.0027,0.0341,0.0847,0.0351,0.048,0.0584,0.0041,1
59330103003,0.015,0.0153,0.0978,0.0027,0.0337,0.0514,,0.0476,0.0826,0.0048,1
59330103004,0.0182,0.0264,0.0571,0.0073,0.0579,0.1285,,0.07,0.078,0.0175,1
59330103005,0.0155,0.0167,0.0495,0.0029,0.0368,0.0408,,0.0504,0.0319,0.0037,1
59330104003,0.0132,,0.1401,0.0017,,0.1162,0.0646,,0.0255,0.001,0
59330104004,0.0132,,0.1401,0.0017,,0.1162,0.0646,,0.0255,0.001,0
59330104005,0.0133,,0.0822,0.0022,,0.1593,0.0505,,0.0281,0.0023,0
59330104012,0.0125,,0.0394,0.002,,0.0797,0.0372,,0.0119,0.003,0
59330104013,0.013,,0.0959,0.0017,,0.1217,0.0586,,0.0347,0.0015,0
59330104014,0.0146,0.0128,0.0588,0.0024,0.0283,0.0972,0.0428,,0.0491,0.0034,0
59330104015,0.0163,0.0216,0.0495,0.0032,0.0475,0.0673,,0.0602,0.0668,0.0061,1
59330104016,0.0123,,0.0379,0.002,,0.0764,0.0361,,0.0114,0.0028,0
59330105001,0.0184,0.0496,0.0476,0.0041,0.1087,0.0689,,0.0714,0.0643,0.0102,1
59330105002,0.018,0.0456,0.0468,0.0039,0.0999,0.0672,,0.0693,0.0656,0.0097,1
59330105003,0.0189,0.0613,0.0525,0.0042,0.1342,0.0695,,0.0769,0.0367,0.0103,1
59330105004,0.0185,0.0565,0.0515,0.004,0.1237,0.0646,,0.0745,0.0367,0.0103,1
59330105005,0.0199,0.0517,0.0474,0.0044,0.1133,0.0748,,0.0973,0.042,0.0105,1
59330105006,0.0167,0.0345,0.0531,0.0034,0.0755,0.0674,,0.0618,0.0638,0.0059,1
59330105007,0.0163,0.0235,0.0438,0.0034,0.0515,0.0631,,0.0602,0.1195,0.0071,1
59330106001,0.0117,,0.0769,0.0017,,0.1297,0.1309,,0.0257,0.0045,0
59330106002,0.0116,,0.081,0.0017,,0.1251,0.1245,,0.0244,0.0044,0
59330106003,0.0116,,0.1111,0.0017,,0.1222,0.1216,,0.0238,0.0042,0
59330106004,0.0112,,0.0572,0.0014,,0.143,0.1502,,0.0295,0.0028,0
59330106008,0.0115,,0.0685,0.0017,,0.1734,0.1854,,0.0363,0.0046,0
59330107001,0.0102,,0.0118,0.0019,,,,,0.0506,0.0012,0
59330107003,0.0121,,0.0274,0.0042,0.0094,0.0544,0.0349,,0.0842,0.0034,0
59330107004,0.0118,,0.0209,0.0041,0.0088,0.0263,,,0.0823,0.0031,0
59330107005,0.0118,,0.0168,0.0041,0.0087,,,,0.1331,0.0027,0
59330108002,0.0123,,0.0229,0.0021,0.0358,0.0598,0.0383,,0.0123,0.0037,0
59330108006,0.0103,,,0.0015,,,,,0.0213,0.0016,0
59330108007,0.0101,,0.0118,0.0018,,,,,0.0495,0.001,0
59330108010,0.0115,,,0.0112,,,,,,0.0004,0
