DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close
35310148001,0.0064,0.0265,0.0323,0.0146,0.0279,0.0316,,0.0876,0.0587,,0
35310148002,0.0052,0.0141,0.0175,0.0147,,,,0.0592,0.0282,,0
35310148007,0.003,,0.0056,0.0064,,,,,0.0447,,0
35310148008,0.0048,,0.0184,0.0128,,,,0.048,0.1231,,0
35310148009,0.0058,0.0094,0.0424,0.0114,0.0253,,,0.0629,0.0541,,0
35310148010,0.0047,0.0091,,0.0175,,,,,0.0179,,0
35310148012,0.0042,0.0074,,0.0142,,,,,0.0105,,0
35310148015,0.0038,,,0.0112,,,,,,,0
35310148016,0.0028,,,0.0058,,,,,,,0
35310148017,0.0042,0.0073,,0.0148,,,,,0.013,,0
35310148018,0.0051,0.0123,0.0102,0.0229,,,,,0.0257,,0
35310148019,0.0047,0.0083,,0.0161,,,,,0.0119,,0
35310149004,0.0062,0.019,0.0107,0.0345,,,,0.0528,0.0581,,0
35310149005,0.0056,0.0128,,0.0234,,,,,0.0315,,0
35310149007,0.0097,0.0464,0.0056,0.0969,,,,0.0558,0.0383,,0
35310149008,0.0057,0.014,0.0048,0.0258,,,,0.0486,0.0314,,0
35310149009,0.0049,0.0093,,0.0175,,,,,0.0263,,0
35310150001,0.0062,0.0223,0.0174,0.0199,,,,0.0653,0.0424,,0
35310150002,0.0061,0.0251,0.0113,0.023,,,,0.0597,0.0345,,0
35310150003,0.0061,0.0251,0.0113,0.023,,,,0.0602,0.0349,,0
35310150004,0.0069,0.0305,0.0056,0.0432,,,,0.0558,0.0318,,0
35310150007,0.0069,0.0341,0.0189,0.0343,0.0226,0.0276,,0.0714,0.0589,,0
35310150008,0.0069,0.0323,0.0206,0.028,0.025,0.0295,,0.0787,0.0518,,0
35310150009,0.0068,0.0324,0.0226,0.0243,0.0279,0.0316,,0.0876,0.0475,,0
35310150010,0.0079,0.0414,0.029,0.0243,0.038,0.0377,,0.1168,0.0516,,0
35310150011,0.0077,0.0385,0.0225,0.0349,0.0279,0.0316,,0.0876,0.0594,,0
35310150012,0.0066,0.0308,0.0215,0.0268,0.0241,0.0288,,0.0761,0.068,,0
35310150013,0.0067,0.0266,0.0129,0.035,,,,0.0629,0.1129,,0
35310150014,0.0067,0.0266,0.0128,0.035,,,,0.0629,0.1224,,0
35310150015,0.0107,0.0721,0.0115,0.1137,,,,0.0607,0.054,,0
35310151001,0.0187,0.0578,0.0964,0.0157,0.1893,0.0906,0.0356,0.4226,0.0896,,0
35310151002,0.0136,0.0888,0.0545,0.0252,0.0967,0.0471,,0.1834,0.0938,,0
35310151003,0.0131,0.0766,0.056,0.0246,0.0925,0.0408,,0.1399,0.0897,,0
35310151004,0.0194,0.0526,0.1045,0.0173,0.2129,0.0812,0.0356,0.256,0.0858,,0
35310151005,0.0101,0.0316,0.0488,0.0183,0.0545,0.035,,0.1062,0.0653,,0
35310151006,0.0069,0.0281,0.036,0.0164,0.036,0.0366,,0.1112,0.0495,,0
35310151007,0.0069,0.0194,0.0442,0.0127,0.0317,0.028,,0.0745,0.0562,,0
35310151008,0.0069,0.0192,0.0442,0.0126,0.0317,0.0278,,0.0745,0.0553,,0
35310151009,0.0063,0.0171,0.0939,0.0113,0.0366,0.0299,,0.0834,0.0739,,0
35310151010,0.0052,0.0073,0.0543,0.0101,0.0279,0.0263,,0.0679,0.0525,,0
35310151011,0.0057,0.0093,0.0362,0.0113,0.025,,,0.0624,0.0541,,0
35310151012,0.0051,0.0074,0.023,0.012,,,,0.0532,0.0714,,0
35310152001,0.0104,0.0375,0.0644,0.0128,0.0925,0.0835,0.0386,0.256,0.0855,,0
35310152002,0.0179,0.0413,0.0967,0.0141,0.1892,0.0833,0.0383,0.2395,0.0846,,0
35310152003,0.0104,0.0287,0.0609,0.0117,0.0851,0.0759,0.0398,0.1657,0.0936,,0
35310152004,0.0089,0.0233,0.0498,0.0103,0.0591,0.1042,0.0451,0.1346,0.0836,,0
35310152005,0.0082,0.0194,0.0463,0.0095,0.0452,0.1053,0.049,0.1112,0.0898,,0
35310152006,0.0071,0.0153,0.0409,0.0085,0.0327,0.099,0.0481,0.0876,0.0662,,0
35310152007,0.0076,0.0187,0.043,0.0094,0.0425,0.1005,0.0459,0.1078,0.0741,,0
